Brand,Title,Selling_Price,Price,Discount,image_indices
HRX by Hrithik Roshan,Printed Round Neck T-Shirt,664,699,5%,"['195-bWfNrkB6ux7HHY1yRBI6RqIBy_EDY', '11Zzj0QS-7iHTKp1moVPUzY9k89RvIgBa', '1ze9fz4MKpnFK18eNqI2506pmcS39Uxj1', '1HMXN7VVLw6U3Z49rFj0YcpCBt4K-FuWU', '1MKrsNljh7iQimduLRT7TWniFt7QByh-G', '1g2WcR8QR6IsfAvgxmAbocL0tVb8eufnK']"
HERE&NOW,Solid Polo T-shirt,399,799,50%,"['1JkLpjTYPwv-Z4bSODPaOwKF_mJ9C-yMU', '1CHGHMtyidYlooQDO2LkvsB3T3PiuefCc', '1x10XpnVvRmcE3b35qRIXQb0d5twbnQvy', '19DXktJ2O8DYmScb-v2QGMj4HpAZ6gO18', '1DAys7W33oanZlFZ9y5U0rpJuKRIDZeh1', '1HdyxCtIUJbfGGGWe0KJTDWFiCSAuf3Nn', '1uUgyyurAcdAoyn_FyftIBcmEvzaqN9di']"
Moda Rapido,Colourblocked Round Neck T-shirt,454,699,35%,"['1HOh-JlKbz0QQozdX2OekiljQZUrzKRaz', '1L7pydrNEMJyTsb1dhOW3RYQsMAuEjnmY', '19e3w1n3SrGq3hHKeG3PHHzuUSKSJgScj', '13Q9k__wLVXNKsnBGcrg8fGDy2yP3O97e', '1yFcR6Icv1mK2Dz8myBPp99mfwslZxxN2']"
Roadster,Camouflage Round Neck T-shirt,454,699,35%,"['1lef0AiRV3uIm5H_SfM9-1UUhNQqwlTl1', '1A6b3KiNzmTBDz0e3HMud0SBJ8z37Mp68', '1L9ueV9qCGJekqDI2-Iy_qHtCQS9F1j2B', '1Oxioi-yCNCkwjo1uaVNeSFLX4G8XzsY9']"
DILLINGER,Colourblocked Round Neck Navy Blue T-shirt,449,899,50%,"['16W-3Y0PxoPOefIgDMcyG_HntvNsc7c1s', '1h459UudjSE2_L5dD3opvvzA4dYR6xUby', '1sZa5omWpSMdMLZsiQVI0ksj2GGPyz53R', '1X8gBKQOplVxjxXsN2eILHRZ3XTmhsvBu', '1JNzexSMMt6s5ayKgirZS_yfovv3I6Vcu', '1WHy_wn3GgMU1Hxh0DKu1Dy1Z3D1-E7CA']"
FIDO DIDO,Solid Polo Collar T-shirt,637,1449,56%,"['1BFo9CiU5xcMa9zULnLLpeP3C28TWcgNw', '1IbTmEyWfb3K4zKbtr5caSyu3iwfGGr-Z', '1HK8uJgVcFPQb7CUpvA-9FLogAGObGpZ-', '1r38eaIr9pBmJZYJY_TUEvOhx2kCVieSY']"
Nautica,Striped Polo Collar T-shirt,1649,3299,50%,"['1tdhhBvplp5RPJJjvHnkjvQZysCFo1V_g', '1AjMruQPcu8Qr7ztHGIUpT0EEEFSqWX_0', '16W-3Y0PxoPOefIgDMcyG_HntvNsc7c1s', '1VABRFzRaxgyGhaut3-cgntVwR5el6uSI', '1H3pZzAvkTRdx9z2UmjBv6vSZ7IrNjg7_']"
H&M,Round-Neck T-shirt Regular Fit,399,399,0%,"['1B7lBYP3Ty_UBT6wiph9rQBsw9ljAS6C1', '1skIrz9FUQn8MnB1gbRgMZsKm2wOL51-w', '1PY32YHe-iBADjDzSg0eJKGw9_XZ8NzrW', '1MY69i3pIFK--SQ21C5tmYnYBfs274vut']"
Roadster,All-Over-Printed T-shirt,384,699,45%,"['1gO6I8aaEjD0xACDZvSHNh4DfemTNqtus', '1osKfRL8FZq6b8d_yqXEq91YFxycZQOkm', '1ke0HpofYq-3-l7LVBubBOhrcBOpuP-Pn', '1optlUr0FGy1qnCJA4Cuvkr6pNfVOVV8j']"
HERE&NOW,Men Printed Round Neck T-shirt,411,749,45%,"['1hPgU0nKtJEDt90InrrohtFdpp5--MhlK', '1cHTZtEXlY9Aekm9eVgcItCNqvPFyHn_A', '10FuRshOnesU1NbhBcLInCgqqGWdRViO_', '1qIC2LVPAU8cPoevjOeoY4Q0ljXW1fGRb', '15W8ajsD6SQjMpldHAdfXtdgJfZy8qqu0', '1cHTZtEXlY9Aekm9eVgcItCNqvPFyHn_A']"
